iter	Passed	Remaining
0	119	119295
1	121	60770
2	123	41190
3	126	31391
4	129	25813
5	132	21937
6	134	19099
7	136	16956
8	139	15326
9	141	13975
10	143	12872
11	145	11975
12	148	11260
13	150	10607
14	153	10056
15	155	9550
16	157	9099
17	159	8719
18	162	8367
19	165	8114
20	168	7842
21	170	7573
22	172	7326
23	174	7116
24	177	6931
25	179	6732
26	181	6548
27	183	6373
28	186	6242
29	189	6114
30	191	5980
31	193	5846
32	195	5721
33	197	5624
34	200	5521
35	202	5426
36	205	5339
37	207	5250
38	209	5173
39	212	5109
40	215	5030
41	217	4959
42	219	4886
43	221	4815
44	224	4759
45	226	4696
46	228	4637
47	230	4578
48	233	4526
49	235	4470
50	237	4416
51	239	4369
52	241	4323
53	243	4273
54	246	4232
55	248	4191
56	251	4153
57	253	4114
58	255	4076
59	257	4035
60	259	3999
61	262	3964
62	264	3927
63	265	3889
64	267	3852
65	270	3821
66	271	3787
67	273	3749
68	275	3723
69	277	3690
70	279	3653
71	281	3621
72	283	3594
73	284	3565
74	286	3532
75	288	3504
76	303	3640
77	308	3645
78	310	3623
79	312	3592
80	314	3562
81	319	3573
82	324	3580
83	328	3585
84	330	3554
85	331	3525
86	332	3492
87	334	3470
88	340	3481
89	341	3452
90	343	3428
91	344	3401
92	346	3375
93	349	3367
94	350	3340
95	352	3319
96	354	3299
97	356	3285
98	358	3263
99	359	3238
100	361	3213
101	361	3183
102	362	3159
103	366	3158
104	368	3136
105	369	3114
106	371	3097
107	373	3086
108	375	3065
109	376	3048
110	379	3039
111	382	3033
112	383	3014
113	385	2995
114	387	2984
115	389	2964
116	390	2950
117	393	2939
118	395	2926
119	396	2908
120	398	2897
121	401	2886
122	402	2868
123	405	2861
124	407	2851
125	409	2842
126	411	2829
127	413	2814
128	415	2804
129	417	2795
130	420	2786
131	422	2777
132	424	2768
133	427	2759
134	429	2750
135	431	2741
136	433	2731
137	435	2721
138	437	2711
139	439	2698
140	441	2686
141	442	2674
142	444	2660
143	445	2647
144	446	2634
145	447	2620
146	449	2606
147	450	2593
148	452	2581
149	453	2568
150	454	2555
151	455	2542
152	456	2529
153	458	2516
154	459	2504
155	460	2492
156	461	2479
157	462	2467
158	464	2455
159	465	2444
160	466	2433
161	467	2420
162	469	2409
163	471	2402
164	474	2401
165	476	2394
166	478	2387
167	480	2380
168	483	2375
169	485	2369
170	487	2364
171	490	2359
172	492	2352
173	494	2347
174	496	2342
175	499	2337
176	501	2332
177	503	2326
178	506	2321
179	508	2314
180	509	2303
181	510	2294
182	512	2285
183	513	2278
184	515	2269
185	516	2260
186	517	2251
187	518	2241
188	520	2231
189	521	2224
190	523	2219
191	526	2214
192	528	2209
193	530	2204
194	532	2199
195	535	2195
196	537	2191
197	539	2186
198	541	2180
199	543	2175
200	545	2168
201	547	2161
202	549	2156
203	551	2152
204	553	2147
205	555	2140
206	557	2136
207	560	2133
208	562	2128
209	564	2124
210	566	2119
211	569	2115
212	571	2111
213	573	2107
214	576	2103
215	578	2099
216	580	2095
217	583	2091
218	585	2087
219	587	2083
220	589	2079
221	591	2074
222	594	2070
223	596	2065
224	598	2060
225	599	2053
226	602	2050
227	604	2046
228	606	2042
229	608	2038
230	610	2033
231	613	2029
232	615	2026
233	617	2022
234	620	2019
235	622	2015
236	624	2011
237	627	2007
238	629	2004
239	631	2000
240	633	1995
241	636	1992
242	638	1988
243	640	1984
244	642	1980
245	644	1975
246	646	1972
247	649	1968
248	651	1964
249	653	1961
250	655	1957
251	658	1953
252	660	1949
253	662	1946
254	664	1942
255	666	1938
256	669	1934
257	671	1931
258	673	1928
259	676	1924
260	678	1921
261	680	1916
262	682	1913
263	685	1909
264	687	1906
265	689	1903
266	692	1900
267	694	1897
268	696	1893
269	698	1889
270	701	1886
271	703	1883
272	705	1879
273	708	1876
274	710	1872
275	712	1869
276	714	1865
277	716	1862
278	719	1858
279	721	1856
280	724	1853
281	726	1850
282	729	1847
283	731	1844
284	733	1840
285	735	1836
